
time,gFx,gFy,gFz,wx,wy,wz,
0.094425,-0.0107,0.0059,1.0039,0.0150,0.0990,-0.0181,
0.195175,-0.0049,0.0430,0.9610,0.0554,0.0547,-0.0410,
0.295432,-0.0029,0.0605,0.9863,0.1623,-0.0244,-0.0329,
0.396149,0.0420,0.1191,1.0000,0.2291,-0.0727,0.0268,
0.496255,0.0654,0.1348,0.9863,0.3803,-0.0740,0.0749,
0.598079,0.1357,0.1172,0.8184,0.4179,-0.1720,0.1194,
0.698461,0.3506,0.1133,0.8945,0.4585,-0.7487,0.1796,
0.797828,0.2471,0.1856,0.6973,0.2497,-0.9562,0.3176,
0.899217,0.7783,0.1191,0.7383,0.2001,-1.6965,0.4208,
0.999080,0.6318,-0.0605,0.6719,0.1289,-2.8269,0.4441,
1.099431,0.8779,-0.2070,0.1406,0.2069,-2.4431,0.5738,
1.199602,1.0381,-0.4883,-0.0098,-0.1578,-5.1557,0.6559,
1.299509,0.9444,-0.6836,-0.0586,0.2154,-4.6552,0.9086,
1.400272,0.8838,-0.7774,-0.3965,0.7488,-5.2819,0.9926,
1.501003,0.5733,-0.9824,-0.2168,1.5730,-5.0426,0.9870,
1.601300,0.6826,-1.2930,-0.4590,1.7935,-3.8982,0.9911,
1.702208,0.2666,-1.3574,-0.3438,1.4989,-3.7499,0.7451,
1.802082,0.4131,-1.1074,-0.4629,1.3239,-2.8330,0.4494,
1.902130,0.5166,-1.1973,0.0488,1.5425,-1.6015,-0.0091,
2.003251,0.0850,-1.0684,-0.3027,1.4323,-0.0229,0.1056,
2.103376,0.5986,-1.1016,-0.2656,0.9476,0.0604,0.1262,
2.204224,0.3506,-1.2031,-0.2715,0.5377,-0.9593,-0.1366,
2.303607,0.2940,-1.0996,-0.1953,0.0742,-1.0980,0.1164,
2.404109,0.4795,-1.0020,-0.2969,-0.0989,-2.4471,-0.3085,
2.504138,0.2822,-1.0332,-0.3867,-0.4663,-1.1385,-0.0602,
2.604823,0.3936,-0.9746,-0.5020,-0.4229,-0.6582,0.0434,
2.705120,0.4248,-0.9395,-0.3027,-0.3867,-0.6414,-0.2507,
2.804886,0.3877,-1.0000,-0.4492,-0.1752,0.0836,-0.0574,
2.905537,0.5147,-1.1153,-0.5020,-0.1857,0.1733,-0.0843,
3.006036,0.3525,-1.2051,-0.0879,-0.0395,0.5160,-0.0329,
3.106454,0.6494,-0.9668,-0.0078,0.2404,0.8833,0.1649,
3.206738,0.5576,-1.1309,0.0605,0.6136,1.0433,0.0753,
3.306879,0.4014,-1.0352,0.0977,0.9594,1.4242,0.0940,
3.407187,0.4541,-1.0703,0.1094,1.0647,1.3778,-0.0233,
3.506689,0.5459,-1.1465,0.0586,0.9022,1.4113,-0.0555,
3.607642,0.3701,-1.3067,0.0313,0.8626,0.9273,0.0110,
3.708200,0.8799,-1.2129,-0.2520,0.5850,0.4161,0.0459,
3.808246,0.6690,-1.4102,0.3887,0.1628,-1.0354,-0.1708,
3.907539,0.3115,-1.2383,-0.0215,-1.2197,-0.7230,0.1120,
4.008617,0.3174,-0.8867,0.1133,-2.1737,-0.9612,0.1235,
4.108861,0.0596,-0.7578,-0.0527,-1.9954,-0.2049,0.3582,
4.209390,0.9170,-0.9414,-1.3867,-1.2507,-0.1559,0.3142,
4.308726,0.6377,-1.0293,-0.0371,-0.5043,-0.3866,-0.6500,
4.409311,0.3291,-1.4004,0.1895,-0.3978,-0.2347,-0.0789,
4.509762,0.2940,-1.0801,-0.0078,-0.5941,-0.2423,-0.1263,
4.610372,0.4717,-0.9473,0.0039,0.4284,0.0008,0.2059,
4.709499,0.5537,-1.0703,-0.0176,1.6245,0.0005,0.3598,
4.810478,0.6416,-1.2129,0.0215,2.6331,0.0003,-0.2314,
4.910895,0.6416,-1.3008,-0.3184,2.5528,-0.1367,-0.1140,
5.010397,0.5674,-1.4922,0.6934,1.5898,-0.2244,-0.1154,
5.111348,0.3838,-1.3125,0.0332,-0.5372,0.5754,0.2633,
5.211409,0.2178,-0.8379,0.1680,-2.2366,0.8519,0.1410,
5.311190,0.1201,-0.7637,-0.0840,-3.3834,1.1072,0.2374,
5.412225,0.6572,-1.0371,-1.2891,-3.1330,0.2985,0.0892,
5.513086,0.6260,-1.0528,-0.3750,-1.5170,-0.2907,-0.5953,
5.613065,0.3076,-1.2735,0.2695,-0.9250,-0.3248,-0.1624,
5.713218,0.3135,-1.0703,-0.0117,-0.5079,-0.0607,-0.1471,
5.813754,0.5244,-0.9473,-0.0176,0.3315,0.0009,0.1402,
5.914326,0.5615,-1.1465,0.0938,1.0490,-0.0011,0.2016,
6.014754,0.6768,-1.2403,0.0625,1.9138,-0.0011,-0.0447,
6.114554,0.5869,-1.2989,-0.5332,1.9789,-0.2977,-0.0539,
6.215251,0.6143,-1.5157,0.4082,1.0824,-0.6114,-0.0261,
6.315787,0.4717,-1.2676,0.0059,-0.7798,0.0916,0.2516,
6.416397,0.1748,-0.7910,0.2129,-2.3445,0.5559,0.1109,
6.515904,0.0479,-0.7891,-0.2090,-3.1222,1.3813,0.3481,
6.616997,1.0967,-1.1406,-1.5254,-1.9279,0.5192,0.0125,
6.717781,0.6768,-1.1875,-0.0957,-0.2191,-0.0252,-0.6386,
6.817477,0.6006,-1.2012,0.1543,-0.4691,-0.2161,-0.1319,
6.917983,0.4775,-1.0606,0.0059,-0.1395,0.0000,-0.2448,
7.017662,0.4795,-0.9121,-0.0273,0.2961,0.0009,0.2664,
7.118771,0.4326,-1.1387,0.0977,1.0630,-0.0005,0.2423,
7.218934,0.6611,-1.2793,0.1641,2.1650,-0.0008,0.0288,
7.319306,0.6358,-1.4024,-0.4316,1.9918,-0.5028,0.0228,
7.418629,0.5342,-1.4883,0.1270,0.5606,-0.1601,0.0931,
7.519550,0.3662,-1.1074,0.0332,-1.0842,0.2197,0.1737,
7.619983,0.1240,-0.8086,0.2441,-1.9758,0.3134,0.0791,
7.720375,0.2197,-0.8047,-0.4922,-1.8571,0.5053,0.3038,
7.820379,0.9834,-1.2578,-1.0996,-0.9092,-0.0498,-0.1659,
7.920256,0.3643,-1.1836,0.1563,0.1048,-0.1784,-0.4787,
